"site","date","count"
"M-6",2024-03-30,0
"M-6",2024-03-31,0
"M-6",2024-04-01,0
"M-6",2024-04-02,0
"M-6",2024-04-03,0
"M-6",2024-04-04,0
"M-6",2024-04-05,0
"M-6",2024-04-06,0
"M-6",2024-04-07,0
"M-6",2024-04-08,0
"M-6",2024-04-09,0
"M-6",2024-04-10,0
"M-6",2024-04-11,0
"M-6",2024-04-12,0
"M-6",2024-04-13,0
"M-6",2024-04-14,0
"M-6",2024-04-15,0
"M-6",2024-04-16,0
"M-6",2024-04-17,0
"M-6",2024-04-18,0
"M-6",2024-04-19,0
"M-6",2024-04-20,0
"M-6",2024-04-21,0
"M-6",2024-04-22,1
"M-6",2024-04-23,57
"M-6",2024-04-24,3
"M-6",2024-04-25,2
"M-6",2024-04-26,25
"M-6",2024-04-27,8
"M-6",2024-04-28,0
"M-6",2024-04-29,2
"M-6",2024-04-30,4
"M-6",2024-05-01,0
"M-6",2024-05-02,0
"M-6",2024-05-03,0
"M-6",2024-05-04,0
"M-6",2024-05-05,1
"M-6",2024-05-06,0
"M-6",2024-05-07,0
"M-6",2024-05-08,6
"M-6",2024-05-09,14
"M-6",2024-05-10,22
"M-6",2024-05-11,39
"M-6",2024-05-12,111
"M-6",2024-05-13,20
"M-6",2024-05-14,12
"M-6",2024-05-15,81
"M-6",2024-05-16,114
"M-6",2024-05-17,0
"M-6",2024-05-18,1
"M-6",2024-05-19,16
"M-6",2024-05-20,20
"M-6",2024-05-21,0
"M-6",2024-05-22,1
"M-6",2024-05-23,11
"M-6",2024-05-24,39
"M-6",2024-05-25,3
"M-6",2024-05-26,37
"M-6",2024-05-27,5
"M-6",2024-05-28,0
"M-6",2024-05-29,11
"M-6",2024-05-30,44
"M-6",2024-05-31,57
"M-6",2024-06-01,30
"M-6",2024-06-02,20
"M-6",2024-06-03,28
"M-6",2024-06-04,15
"M-6",2024-06-05,25
"M-6",2024-06-06,10
"M-6",2024-06-07,4
"M-6",2024-06-08,110
"M-6",2024-06-09,68
"M-6",2024-06-10,0
"M-6",2024-06-11,22
"M-6",2024-06-12,0
"M-6",2024-06-13,0
"M-6",2024-06-14,9
"M-6",2024-06-15,105
"M-6",2024-06-16,30
"M-6",2024-06-17,21
"M-6",2024-06-18,2
"M-6",2024-06-19,14
"M-6",2024-06-20,8
"M-6",2024-06-21,7
"M-6",2024-06-22,0
"M-6",2024-06-23,0
"M-6",2024-06-24,8
"M-6",2024-06-25,6
"M-6",2024-06-26,5
"M-6",2024-06-27,4
"M-6",2024-06-28,4
"M-7",2024-03-10,0
"M-7",2024-03-11,0
"M-7",2024-03-12,0
"M-7",2024-03-13,0
"M-7",2024-03-14,0
"M-7",2024-03-15,0
"M-7",2024-03-16,0
"M-7",2024-03-17,10
"M-7",2024-03-18,0
"M-7",2024-03-19,0
"M-7",2024-03-20,0
"M-7",2024-03-21,0
"M-7",2024-03-22,0
"M-7",2024-03-23,0
"M-7",2024-03-24,0
"M-7",2024-03-25,0
"M-7",2024-03-26,0
"M-7",2024-03-27,0
"M-7",2024-03-28,0
"M-7",2024-03-29,0
"M-7",2024-03-30,1
"M-7",2024-03-31,0
"M-7",2024-04-01,11
"M-7",2024-04-02,0
"M-7",2024-04-03,0
"M-7",2024-04-04,1
"M-7",2024-04-05,0
"M-7",2024-04-06,0
"M-7",2024-04-07,0
"M-7",2024-04-08,0
"M-7",2024-04-09,2
"M-7",2024-04-10,0
"M-7",2024-04-11,0
"M-7",2024-04-12,0
"M-7",2024-04-13,0
"M-7",2024-04-14,4
"M-7",2024-04-15,0
"M-7",2024-04-16,15
"M-7",2024-04-17,14
"M-7",2024-04-18,2
"M-7",2024-04-19,14
"M-7",2024-04-20,13
"M-7",2024-04-21,0
"M-7",2024-04-22,0
"M-7",2024-04-23,28
"M-7",2024-04-24,23
"M-7",2024-04-25,30
"M-7",2024-04-26,1
"M-7",2024-04-27,17
"M-7",2024-04-28,47
"M-7",2024-04-29,30
"M-7",2024-04-30,54
"M-7",2024-05-01,2
"M-7",2024-05-02,67
"M-7",2024-05-03,12
"M-7",2024-05-04,21
"M-7",2024-05-05,51
"M-7",2024-05-06,45
"M-7",2024-05-07,41
"M-7",2024-05-08,28
"M-7",2024-05-09,5
"M-7",2024-05-10,2
"M-7",2024-05-11,0
