"site","date","count","treatment"
"M-2",2024-05-20,230,"mine"
"M-2",2024-05-21,107,"mine"
"M-2",2024-05-22,117,"mine"
"M-2",2024-05-23,125,"mine"
"M-2",2024-05-24,189,"mine"
"M-2",2024-05-25,115,"mine"
"M-2",2024-05-26,221,"mine"
"M-2",2024-05-27,375,"mine"
"M-2",2024-05-28,66,"mine"
"M-2",2024-05-29,59,"mine"
"M-2",2024-05-30,225,"mine"
"M-2",2024-05-31,104,"mine"
"M-2",2024-06-01,102,"mine"
"M-2",2024-06-02,108,"mine"
"M-2",2024-06-03,235,"mine"
"M-2",2024-06-04,90,"mine"
"M-2",2024-06-05,149,"mine"
"M-2",2024-06-06,265,"mine"
"M-2",2024-06-07,129,"mine"
"M-2",2024-06-08,141,"mine"
"M-2",2024-06-09,253,"mine"
"M-2",2024-06-10,244,"mine"
"M-2",2024-06-11,256,"mine"
"M-2",2024-06-12,166,"mine"
"M-2",2024-06-13,131,"mine"
"M-2",2024-06-14,164,"mine"
"M-2",2024-06-15,41,"mine"
"M-2",2024-06-16,131,"mine"
"M-2",2024-06-17,67,"mine"
"M-2",2024-06-18,54,"mine"
"M-2",2024-06-19,169,"mine"
"M-2",2024-06-20,151,"mine"
"M-2",2024-06-21,129,"mine"
"M-2",2024-06-22,92,"mine"
"M-2",2024-06-23,83,"mine"
"M-2",2024-06-24,373,"mine"
"M-2",2024-06-25,120,"mine"
"M-2",2024-06-26,333,"mine"
"M-2",2024-06-27,272,"mine"
"M-2",2024-06-28,104,"mine"
"M-5",2024-03-10,2,"mine"
"M-5",2024-03-11,1,"mine"
"M-5",2024-03-12,0,"mine"
"M-5",2024-03-13,0,"mine"
"M-5",2024-03-14,0,"mine"
"M-5",2024-03-15,0,"mine"
"M-5",2024-03-16,9,"mine"
"M-5",2024-03-17,1,"mine"
"M-5",2024-03-18,0,"mine"
"M-5",2024-03-19,0,"mine"
"M-5",2024-03-20,0,"mine"
"M-5",2024-03-21,80,"mine"
"M-5",2024-03-22,97,"mine"
"M-5",2024-03-23,32,"mine"
"M-5",2024-03-24,32,"mine"
"M-5",2024-03-25,43,"mine"
"M-5",2024-03-26,23,"mine"
"M-5",2024-03-27,1,"mine"
"M-5",2024-03-28,1,"mine"
"M-5",2024-03-29,2,"mine"
"M-5",2024-03-30,19,"mine"
"M-5",2024-03-31,17,"mine"
